투입산출표_국산거래표(2020년 가격),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020년,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생산자가격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단위 : 백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                   상품
    상품",,011,012,019,021,029,030,040,050,061,062,071,072,081,082,083,084,085,086,087,088,091,092,100,111,112,113,114,115,120,131,132,141,142,143,150,161,162,163,171,172,180,190,200,210,221,222,229,231,239,241,249,250,261,262,263,269,271,272,273,279,281,282,290,301,302,303,309,310,320,331,339,340,351,352,361,369,371,372,373,374,375,379,381,382,383,384,385,389,391,392,393,394,399,401,402,403,410,421,422,429,431,439,440,450,461,462,470,480,491,492,501,502,503,511,512,513,519,520,531,532,540,550,561,562,563,569,571,572,581,582,591,599,600,610,621,629,630,640,651,659,660,670,680,691,692,700,711,712,721,729,730,741,742,749,751,752,760,770,780,790,800,810,821,822,830,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290,,
,,곡물 및 식량작물,채소 및 과실,기타작물,낙농 및 축우,기타축산,임산물,수산물,농림어업 서비스,석탄,원유 및 천연가스,금속광물,비금속광물,육류 및 낙농품,수산가공품,정곡 및 제분,제당 및 전분,"떡, 과자 및 면류",조미료 및 유지,기타 식료품,사료,주류,비알콜음료 및 얼음,담배,섬유사,섬유직물,섬유표백 및 염색 임가공,직물제품,의복제품,가죽제품,목재,목제품,펄프,종이류,종이제품,인쇄 및 기록매체 복제,석탄제품,원유정제처리제품,윤활유 및 기타석유정제품,기초유기화학물질,기초무기화학물질,합성수지 및 합성고무,화학섬유,의약품,비료 및 농약,도료 및 잉크,비누 및 화장품,기타 화학제품,플라스틱 1차제품,기타 플라스틱제품,타이어 및 튜브,기타 고무제품,유리 및 유리제품,도자기 및 요업제품,시멘트,콘크리트 제품,기타 비금속광물제품,선철 및 조강,열간압연강재,냉간압연강재,기타 철강1차제품,비철금속괴,비철금속 1차제품,금속 주물,구조용 금속제품 및 탱크,"금속단조, 야금 및 압형제품",금속처리 및 가공품,기타 금속가공제품,반도체,전자표시장치,인쇄회로기판,기타 전자부품,컴퓨터 및 주변기기,통신 및 방송장비,영상 및 음향기기,의료 및 측정기기,기타 정밀기기,발전기 및 전동기,전기변환.공급제어장치,전지,전선 및 케이블,가정용 전기기기,기타 전기장비,내연기관 및 터빈,펌프 및 압축기,일반목적용기계 부품,산업용 운반기계,공기 및 액체 조절장치,기타 일반목적용 기계,농업 및 건설용 기계,금속가공용 기계,금형 및 주형,반도체 및 디스플레이 제조용 기계,기타 특수목적용기계,자동차 ,특장차 및 트레일러,자동차 부품,선박,철도차량,항공기,기타 운송장비,가구,기타 제조업제품,제조임가공 및 산업용 장비 수리,전력 및 신재생에너지,도시가스,증기 및 온수 공급,수도,폐수처리,폐기물처리,자원재활용서비스,주거용 건물,비주거용 건물,건축보수,교통시설 건설,일반토목시설 건설,산업시설 건설,기타 건설,도소매 및 상품중개서비스,철도운송서비스,도로운송서비스,수상운송서비스,항공운송서비스,운송보조서비스,하역서비스,보관 및 창고서비스,기타 운송 관련 서비스,공영우편서비스,소화물전문운송서비스,음식점 및 주점,숙박서비스,"유,무선 및 위성 통신서비스 ",기타 전기통신서비스,방송서비스,정보서비스,소프트웨어 개발 공급,기타 IT서비스,신문 및 출판 서비스,"영상,오디오물 제작 및 배급",중앙은행 및 예금취급기관,기타 금융중개기관,보험서비스,금융 및 보험 보조서비스,주거서비스,비주거용 건물 임대 및 부동산 공급,부동산 관련 서비스,연구개발,법무 및 경영지원서비스,광고,건축·토목 관련 서비스,기타 과학기술 및 전문서비스 ,장비·용품 및 지식재산권 임대,사업시설 유지관리 및 조경서비스,인력공급 및 알선,기타 사업지원서비스,공공행정 및 국방,사회보험서비스,교육서비스,의료 및 보건,사회복지서비스,문화 및 여행 관련 서비스,스포츠 및 오락서비스,사회단체,자동차 및 소비용품 수리서비스,개인서비스,기타　,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계,,
011,곡물 및 식량작물,"271,080 ","26,833 ","56,822 ","276,176 ","222,635 ","1,606 ",0 ,"19,045 ",0 ,0 ,0 ,0 ,794 ,77 ,"7,678,008 ","18,148 ","116,475 ","70,797 ","256,502 ","131,038 ","41,241 ","1,638 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86 ,1 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,763 ,"26,586 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,617 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"410,376 ",68 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,248 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,386 ",0 ,"33,821 ",0 ,"17,790 ",480 ,"2,733 ",0 ,0 ,0 ,91 ,"9,684,968 ","937,439 ",0 ,0 ,0 ,"-413,939 ",0 ,"4,978 ","528,478 ","10,213,446 ",,
012,채소 및 과실,336 ,"3,752 ",44 ,145 ,230 ,28 ,119 ,78 ,10 ,10 ,5 ,125 ,"5,266 ",804 ,81 ,38 ,"9,763 ","435,308 ","1,596,919 ",42 ,"8,304 ","79,387 ",23 ,38 ,71 ,24 ,245 ,152 ,117 ,72 ,84 ,9 ,35 ,138 ,171 ,27 ,249 ,61 ,75 ,35 ,289 ,30 ,"7,407 ",29 ,46 ,"1,271 ",235 ,59 ,201 ,177 ,59 ,285 ,236 ,12 ,78 ,114 ,212 ,426 ,11 ,37 ,81 ,87 ,16 ,155 ,61 ,112 ,620 ,201 ,355 ,207 ,113 ,739 ,871 ,229 ,29 ,188 ,11 ,108 ,212 ,21 ,28 ,144 ,12 ,18 ,40 ,29 ,51 ,64 ,21 ,30 ,36 ,124 ,172 ,44 ,21 ,130 ,375 ,65 ,66 ,21 ,61 ,177 ,"198,164 ",162 ,44 ,103 ,35 ,"1,935 ",1 ,21 ,45 ,61 ,45 ,176 ,121 ,136 ,29 ,"10,908 ",131 ,48 ,31 ,12 ,175 ,196 ,11 ,85 ,72 ,30 ,"4,502,117 ","10,097 ",180 ,282 ,305 ,56 ,774 ,135 ,28 ,68 ,188 ,301 ,119 ,51 ,0 ,740 ,217 ,"1,419 ","1,026 ",69 ,100 ,666 ,120 ,51 ,186 ,943 ,"87,550 ",146 ,"206,689 ","3,491 ","22,000 ","1,877 ","3,908 ","3,998 ",170 ,183 ,187 ,"7,222,993 ","8,925,153 ",0 ,0 ,0 ,"46,191 ",0 ,"435,916 ","9,407,260 ","16,630,253 ",,
019,기타작물,0 ,"318,306 ","140,909 ",220 ,"4,073 ",102 ,469 ,12 ,0 ,0 ,1 ,"1,099 ",363 ,5 ,4 ,0 ,"6,275 ","28,036 ","479,761 ","5,704 ","4,357 ","9,607 ","88,694 ","3,033 ",276 ,216 ,235 ,"1,172 ",228 ,389 ,192 ,1 ,344 ,514 ,743 ,10 ,"2,526 ",503 ,908 ,489 ,"1,111 ",264 ,"337,934 ","3,317 ",567 ,"13,388 ",183 ,617 ,"2,017 ",25 ,77 ,113 ,100 ,27 ,723 ,676 ,17 ,"1,250 ",46 ,229 ,780 ,805 ,111 ,696 ,401 ,428 ,"1,088 ",724 ,66 ,10 ,103 ,154 ,136 ,40 ,176 ,12 ,33 ,182 ,15 ,53 ,155 ,166 ,113 ,587 ,73 ,200 ,319 ,123 ,228 ,127 ,259 ,573 ,183 ,158 ,12 ,247 ,6 ,6 ,21 ,30 ,192 ,94 ,"29,678 ",980 ,158 ,543 ,133 ,"2,065 ",640 ,82 ,"14,630 ","9,011 ","10,798 ","1,243 ","3,009 ","8,548 ","6,020 ","34,199 ",11 ,99 ,240 ,22 ,"2,754 ","1,649 ",703 ,"1,363 ",14 ,423 ,"328,268 ","20,326 ",339 ,471 ,95 ,238 ,"1,319 ",54 ,81 ,790 ,"1,966 ","1,725 ","1,299 ",588 ,0 ,545 ,"1,322 ","6,909 ","6,192 ",528 ,592 ,"10,742 ",965 ,461 ,"1,330 ","1,516 ","128,039 ","1,206 ","24,730 ","522,639 ","17,638 ","22,067 ","2,137 ","17,780 ",312 ,"10,710 ",499 ,"2,737,775 ","741,972 ",0 ,0 ,0 ,"45,632 ",0 ,"123,086 ","910,690 ","3,648,465 ",,
021,낙농 및 축우,"20,478 ","25,083 ","9,812 ","7,226 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,456,937 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,241 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,881 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,114 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,523,810 ",0 ,0 ,"128,099 ",0 ,"-20,614 ",0 ,121 ,"107,606 ","8,631,416 ",,
029,기타축산,490 ,"3,935 ","1,489 ",0 ,"383,350 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,891,277 ",0 ,0 ,0 ,"202,377 ","4,345 ","52,734 ",0 ,0 ,481 ,0 ,"4,229 ",0 ,0 ,0 ,"40,156 ","1,802 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,210 ",704 ,0 ,"1,377 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,860 ,"2,383 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"805,782 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"9,109 ",0 ,0 ,0 ,126 ,0 ,0 ,0 ,0 ,298 ,0 ,"76,952 ","12,175 ","9,005 ",77 ,0 ,0 ,0 ,0 ,57 ,"10,508,780 ","1,392,751 ",0 ,"100,763 ",266 ,"-56,024 ",0 ,"19,083 ","1,456,839 ","11,965,619 ",,
030,임산물,"3,835 ","19,541 ","2,985 ","1,530 ",576 ,"109,815 ","6,402 ",99 ,235 ,0 ,21 ,759 ,531 ,36 ,47 ,18 ,"18,053 ","16,097 ","159,332 ",118 ,96 ,359 ,24 ,7 ,31 ,28 ,31 ,126 ,26 ,"203,160 ","66,848 ",1 ,121 ,120 ,239 ,9 ,168 ,42 ,274 ,69 ,495 ,39 ,"3,121 ",48 ,85 ,"5,521 ",78 ,74 ,318 ,3 ,19 ,19 ,17 ,5 ,127 ,115 ,2 ,189 ,5 ,33 ,91 ,123 ,27 ,336 ,72 ,77 ,206 ,107 ,11 ,2 ,26 ,177 ,67 ,17 ,52 ,5 ,6 ,38 ,5 ,14 ,28 ,38 ,17 ,145 ,13 ,31 ,47 ,24 ,20 ,18 ,48 ,110 ,31 ,61 ,8 ,80 ,39 ,3 ,4 ,8 ,"1,618 ",943 ,"20,912 ",104 ,31 ,247 ,25 ,478 ,357 ,4 ,"90,798 ","54,838 ","15,311 ","1,888 ","8,798 ","3,811 ","1,633 ","18,123 ",1 ,25 ,50 ,2 ,465 ,313 ,209 ,317 ,1 ,70 ,"244,844 ",145 ,180 ,149 ,144 ,62 ,491 ,32 ,25 ,234 ,806 ,258 ,307 ,180 ,0 ,207 ,176 ,"1,554 ","1,589 ",111 ,273 ,693 ,471 ,141 ,899 ,"1,983 ",822 ,1 ,"32,108 ","1,133 ","9,438 ",168 ,298 ,"5,244 ",70 ,"3,737 ",307 ,"1,155,006 ","446,975 ",0 ,"434,882 ",290 ,"1,179,819 ",0 ,"5,172 ","2,067,138 ","3,222,144 ",,
040,수산물,173 ,117 ,41 ,90 ,119 ,23 ,"38,442 ",103 ,4 ,2 ,0 ,167 ,239 ,"2,912,962 ",34 ,52 ,"2,405 ","16,837 ","15,485 ","7,043 ",110 ,27 ,31 ,14 ,58 ,32 ,70 ,87 ,24 ,95 ,31 ,6 ,46 ,143 ,224 ,35 ,298 ,18 ,97 ,48 ,380 ,39 ,593 ,38 ,59 ,"4,511 ",30 ,78 ,261 ,7 ,42 ,27 ,26 ,17 ,102 ,74 ,48 ,159 ,15 ,49 ,108 ,112 ,20 ,206 ,81 ,147 ,814 ,171 ,9 ,4 ,19 ,130 ,78 ,18 ,38 ,9 ,15 ,91 ,4 ,27 ,37 ,57 ,16 ,23 ,51 ,39 ,67 ,27 ,28 ,41 ,46 ,164 ,108 ,38 ,4 ,47 ,14 ,5 ,4 ,4 ,"1,131 ","4,706 ","17,739 ",96 ,57 ,135 ,46 ,"3,127 ",0 ,27 ,59 ,79 ,59 ,65 ,75 ,47 ,39 ,"7,057 ",4 ,63 ,42 ,16 ,227 ,256 ,15 ,112 ,9 ,41 ,"2,509,969 ",148 ,236 ,368 ,44 ,73 ,"1,014 ",179 ,38 ,76 ,247 ,394 ,154 ,65 ,0 ,"1,203 ",283 ,"7,759 ","1,343 ",91 ,131 ,993 ,140 ,66 ,242 ,"1,232 ","77,812 ",260 ,"122,508 ","8,703 ","163,340 ","4,127 ","3,411 ","5,241 ",77 ,239 ,"1,673 ","5,954,516 ","2,368,788 ",0 ,0 ,0 ,"36,866 ",0 ,"473,866 ","2,879,520 ","8,834,036 ",,
050,농림어업 서비스,"291,484 ","224,001 ","4,477 ","149,453 ","221,855 ","179,592 ","122,677 ",0 ,0 ,0 ,0 ,0 ,51 ,73 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43 ,0 ,0 ,0 ,2 ,0 ,"2,563 ",115 ,178 ,151 ,0 ,414 ,0 ,0 ,0 ,0 ,11 ,"1,197,151 ",0 ,0 ,0 ,0 ,0 ,0 ,"4,568 ","4,568 ","1,201,719 ",,
